margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.993865030674847
CRS,50,0,1
ERK,323,1394,0.743034055727554
MNT,108,0,0.787037037037037
MRO,138,144491,0.992753623188406
OSF,29,35728,0.931034482758621
HKL,110,35728,0.990909090909091
NET,6,0,1
TWL,867,150200,0.873125720876586
1978,124,0,0.919354838709677
1979,102,0,1
1980,271,181604,0.981549815498155
1981,237,2930,0.945147679324895
1982,249,1394,0.666666666666667
Q1,162,0,0.993827160493827
Q2,289,35728,0.899653979238754
Q3,340,4315,0.870588235294118
Q4,192,145885,0.807291666666667
