"marginalOLVE","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,20334,0.818181818181818
"MRO",64,0,1
"OSF",52,0,0.980769230769231
"HKL",1,0,1
"NET",8,17170,0.5
"TWL",201,3164,0.930348258706468
"1978",57,17170,0.736842105263158
"1980",61,0,0.983606557377049
"1981",42,0,1
"1982",50,3164,0.96
"Q1",43,0,1
"Q2",73,17170,0.945205479452055
"Q3",54,0,0.759259259259259
"Q4",40,3164,0.975
