margGRAS,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.245398773006135
CRS,50,0,0.22
ERK,323,1251,0.708978328173375
MNT,108,0,0.296296296296296
MRO,138,0,0.0797101449275362
OSF,29,0,0.344827586206897
HKL,110,0,0.0727272727272727
NET,6,0,0.333333333333333
TWL,867,1251,0.418685121107266
1978,124,0,0.443548387096774
1979,102,0,0.264705882352941
1980,271,0,0.236162361623616
1981,237,0,0.523206751054852
1982,249,1251,0.413654618473896
Q1,162,0,0.141975308641975
Q2,289,1251,0.370242214532872
Q3,340,0,0.520588235294118
Q4,192,0,0.34375
