"marginalPOP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,7614,0.98159509202454
"CRS",50,4556,0.9
"ERK",323,326592,0.925696594427245
"MNT",108,0,1
"MRO",138,0,1
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,338762,0.959630911188005
"1978",124,1334,0.975806451612903
"1979",102,61613,0.980392156862745
"1980",271,13486,0.966789667896679
"1981",237,1233,0.991561181434599
"1982",249,261096,0.923694779116466
"Q1",162,61776,0.987654320987654
"Q2",289,10445,0.965397923875433
"Q3",340,255876,0.958823529411765
"Q4",192,10665,0.953125
