"marginalROSY","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.668711656441718
"CRS",50,0,0.5
"ERK",323,0,0.736842105263158
"MNT",108,0,0.601851851851852
"MRO",138,321,0.427536231884058
"OSF",29,0,0.275862068965517
"HKL",110,321,0.390909090909091
"NET",6,0,0.666666666666667
"TWL",867,0,0.662053056516724
"1978",124,0,0.443548387096774
"1979",102,0,0.57843137254902
"1980",271,60,0.793357933579336
"1981",237,136,0.556962025316456
"1982",249,125,0.642570281124498
"Q1",162,125,0.537037037037037
"Q2",289,0,0.743944636678201
"Q3",340,60,0.647058823529412
"Q4",192,136,0.515625
