margQLBK,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,232,0.0858895705521472
CRS,50,0,0.06
ERK,323,0,0.284829721362229
MNT,108,0,0.0185185185185185
MRO,138,0,0.369565217391304
OSF,29,0,0.0689655172413793
HKL,110,0,0.336363636363636
NET,6,0,0
TWL,867,232,0.167243367935409
1978,124,232,0.112903225806452
1979,102,0,0.176470588235294
1980,271,0,0.103321033210332
1981,237,0,0.20253164556962
1982,249,0,0.29718875502008
Q1,162,232,0.382716049382716
Q2,289,0,0.107266435986159
Q3,340,0,0.147058823529412
Q4,192,0,0.203125
