"marginalDBRK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,531408,0.950920245398773
"CRS",50,377839,0.86
"ERK",323,651570,0.869969040247678
"MNT",108,7679,1
"MRO",138,2352,1
"OSF",29,5802,1
"HKL",110,3589,1
"NET",6,0,1
"TWL",867,1573061,0.925028835063437
"1978",124,78910,0.919354838709677
"1979",102,233217,0.96078431372549
"1980",271,322036,0.955719557195572
"1981",237,619303,0.936708860759494
"1982",249,323184,0.903614457831325
"Q1",162,549140,0.95679012345679
"Q2",289,386369,0.920415224913495
"Q3",340,290371,0.95
"Q4",192,350770,0.90625
