margSTRK,n,landing,coverage
BRG,6,25251,1
MNT,88,1850,1
MRO,64,1439,1
OSF,52,39177,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,67717,0.995024875621891
1978,57,1241,1
1980,61,37899,0.983606557377049
1981,42,15416,1
1982,50,13161,1
Q1,43,0,1
Q2,73,24370,0.986301369863014
Q3,54,26690,1
Q4,40,16657,1
