"species","mad"
"REDS",8.51096846156371e-06
"SBLY",8.54556490415711e-06
"GSPT",8.60216851656504e-06
"ROSY",8.61776583433784e-06
"ARRA",8.62266804917412e-06
"MXRF",8.68045299913302e-06
"FLAG",8.6919624625024e-06
"GSRK",8.77128323778108e-06
"RSTN",8.79797937345061e-06
"RDBD",8.89019882908247e-06
"STRK",8.9796469365108e-06
"BLGL",9.18427728583263e-06
"COPP",9.24483305126209e-06
"SNOS",9.27721136991441e-06
"BRWN",9.29339862678442e-06
"STAR",9.36756476648357e-06
"GBLC",9.38305886062822e-06
"SSPN",9.56850953462211e-06
"POP",9.61660203420808e-06
"SHRP",9.66802280782624e-06
"YTRK",9.69227685605015e-06
"LSPN",9.69475555392084e-06
"BANK",1.0125338534282e-05
"OLVE",1.04890252222816e-05
"REX",1.06718931978548e-05
"CWCD",1.18746160523603e-05
"BLUR",1.19623399255512e-05
"CLPR",1.21581460420066e-05
"BLCK",1.22333092132875e-05
"VRML",1.30663282928645e-05
"DBRK",1.31314794284503e-05
"WDOW",1.34405119138855e-05
"YEYE",1.34880851381043e-05
"REYE",1.47987401527824e-05
"YMTH",1.54329028307979e-05
"GRAS",1.54457615136731e-05
"CBZN",1.58008663042604e-05
"EGLS",1.65517603778058e-05
"BCAC",1.69701781523848e-05
"TIGR",2.30166977775438e-05
"LCOD",2.30234155071959e-05
"CNRY",2.33806352215518e-05
"QLBK",2.42211692937773e-05
"SLGR",2.43775880652936e-05
"URCK",3.04394338754465e-05
"SWSP",3.19144986497423e-05
"SPKL",3.24338472422232e-05
"BRNZ",3.44099882450571e-05
