margQLBK,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,232,0.049079754601227
CRS,50,0,0.3
ERK,323,0,0.157894736842105
MNT,108,0,0.342592592592593
MRO,138,0,0.478260869565217
OSF,29,0,0.275862068965517
HKL,110,0,0.445454545454545
NET,6,0,0.333333333333333
TWL,867,232,0.164936562860438
1978,124,232,0.0645161290322581
1979,102,0,0.480392156862745
1980,271,0,0.225092250922509
1981,237,0,0.227848101265823
1982,249,0,0.0883534136546185
Q1,162,232,0.277777777777778
Q2,289,0,0.280276816608997
Q3,340,0,0.108823529411765
Q4,192,0,0.161458333333333
