"marginalSTRK","n","landing","coverage"
"BRG",6,25251,0.833333333333333
"MNT",88,1850,0.852272727272727
"MRO",64,1439,0.984375
"OSF",52,39177,0.884615384615385
"HKL",1,0,1
"NET",8,0,1
"TWL",201,67717,0.895522388059702
"1978",57,1241,0.789473684210526
"1980",61,37899,0.934426229508197
"1981",42,15416,0.976190476190476
"1982",50,13161,0.92
"Q1",43,0,1
"Q2",73,24370,0.931506849315068
"Q3",54,26690,0.740740740740741
"Q4",40,16657,0.95
