"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1338,0.647239263803681
"CRS",50,157,0.62
"ERK",323,291,0.613003095975232
"MNT",108,0,0.62037037037037
"MRO",138,0,0.434782608695652
"OSF",29,0,0.655172413793103
"HKL",110,0,0.427272727272727
"NET",6,0,1
"TWL",867,1786,0.619377162629758
"1978",124,47,0.475806451612903
"1979",102,244,0.362745098039216
"1980",271,0,0.904059040590406
"1981",237,0,0.662447257383966
"1982",249,1495,0.369477911646586
"Q1",162,0,0.611111111111111
"Q2",289,1582,0.660899653979239
"Q3",340,204,0.667647058823529
"Q4",192,0,0.380208333333333
