"marginalGSRK","n","landing","coverage"
"BDG",27,0,0
"BRG",12,0,0.916666666666667
"CRS",3,0,1
"ERK",55,0,0.581818181818182
"MNT",11,0,1
"MRO",1,0,1
"OSF",20,0,0.2
"TWL",129,0,0.48062015503876
"1981",37,0,0.378378378378378
"1982",92,0,0.521739130434783
"Q1",33,0,0.303030303030303
"Q2",13,0,0.307692307692308
"Q3",37,0,0.675675675675676
"Q4",46,0,0.5
