"marginalEGLS","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.223926380368098
"CRS",50,0,0.46
"ERK",323,0,0.148606811145511
"MNT",108,1398,0.194444444444444
"MRO",138,0,0.202898550724638
"OSF",29,0,0.172413793103448
"HKL",110,0,0.190909090909091
"NET",6,0,0.166666666666667
"TWL",867,1398,0.204152249134948
"1978",124,0,0.25
"1979",102,0,0.313725490196078
"1980",271,1398,0.154981549815498
"1981",237,0,0.324894514767932
"1982",249,0,0.0682730923694779
"Q1",162,0,0.271604938271605
"Q2",289,0,0.110726643598616
"Q3",340,1398,0.270588235294118
"Q4",192,0,0.161458333333333
