"marginalGSRK","n","landing","coverage"
"BRG",6,22139,1
"MNT",88,2153,1
"MRO",64,14497,0.984375
"OSF",52,10207,1
"HKL",1,0,1
"NET",8,0,1
"TWL",201,48996,0.995024875621891
"1978",57,1646,1
"1980",61,44261,0.983606557377049
"1981",42,580,1
"1982",50,2509,1
"Q1",43,3100,1
"Q2",73,23297,0.986301369863014
"Q3",54,22599,1
"Q4",40,0,1
