margREYE,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.279141104294479
CRS,50,0,0.22
ERK,323,0,0.359133126934985
MNT,108,0,0.305555555555556
MRO,138,0,0.347826086956522
OSF,29,0,0.482758620689655
HKL,110,0,0.245454545454545
NET,6,0,0.5
TWL,867,0,0.335640138408304
1978,124,0,0.153225806451613
1979,102,0,0.225490196078431
1980,271,0,0.328413284132841
1981,237,0,0.514767932489452
1982,249,0,0.273092369477912
Q1,162,0,0.320987654320988
Q2,289,0,0.384083044982699
Q3,340,0,0.397058823529412
Q4,192,0,0.119791666666667
