"marginalEGLS","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.0582822085889571
"CRS",50,0,0.12
"ERK",323,0,0.365325077399381
"MNT",108,1398,0.277777777777778
"MRO",138,0,0.173913043478261
"OSF",29,0,0.0689655172413793
"HKL",110,0,0.0545454545454545
"NET",6,0,0
"TWL",867,1398,0.222606689734717
"1978",124,0,0.032258064516129
"1979",102,0,0.401960784313726
"1980",271,1398,0.191881918819188
"1981",237,0,0.181434599156118
"1982",249,0,0.236947791164659
"Q1",162,0,0.228395061728395
"Q2",289,0,0.301038062283737
"Q3",340,1398,0.132352941176471
"Q4",192,0,0.15625
