"marginalCLPR","n","landing","coverage"
"BDG",9,160601,1
"BRG",326,5460561,0.920245398773006
"CRS",50,18822,1
"ERK",323,1278213,0.984520123839009
"MNT",108,1573782,0.898148148148148
"MRO",138,841860,0.978260869565217
"OSF",29,837157,0.931034482758621
"HKL",110,597138,0.963636363636364
"NET",6,0,1
"TWL",867,9573858,0.95040369088812
"1978",124,1172492,0.991935483870968
"1979",102,2327247,0.892156862745098
"1980",271,2560887,0.929889298892989
"1981",237,2252765,0.957805907172996
"1982",249,1857605,0.975903614457831
"Q1",162,2134234,0.969135802469136
"Q2",289,2254890,0.951557093425606
"Q3",340,3183438,0.955882352941177
"Q4",192,2598434,0.932291666666667
