margPNKR,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,745,0.789473684210526
MRO,66,0,0.818181818181818
OSF,63,0,0.952380952380952
HKL,1,0,1
NET,8,0,1
TWL,225,745,0.844444444444444
1978,57,745,0.982456140350877
1980,61,0,0.819672131147541
1981,42,0,0.952380952380952
1982,50,0,0.64
1983,18,0,0.833333333333333
1984,6,0,1
Q1,51,745,0.941176470588235
Q2,79,0,0.772151898734177
Q3,59,0,0.813559322033898
Q4,45,0,0.933333333333333
