margPNKR,n,landing,coverage
BDG,4,0,0
BRG,6,0,0.666666666666667
MNT,95,745,0.136842105263158
MRO,66,0,0.303030303030303
OSF,63,0,0.333333333333333
HKL,1,0,0
NET,8,0,0
TWL,225,745,0.257777777777778
1978,57,745,0.157894736842105
1980,61,0,0.311475409836066
1981,42,0,0.404761904761905
1982,50,0,0.18
1983,18,0,0.222222222222222
1984,6,0,0
Q1,51,745,0.294117647058824
Q2,79,0,0.316455696202532
Q3,59,0,0.11864406779661
Q4,45,0,0.244444444444444
