"marginalREX","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,311,0.318181818181818
"MRO",64,0,0.578125
"OSF",52,0,0.288461538461538
"HKL",1,0,1
"NET",8,0,1
"TWL",201,311,0.378109452736318
"1978",57,311,0.315789473684211
"1980",61,0,0.622950819672131
"1981",42,0,0.5
"1982",50,0,0.16
"Q1",43,311,0.465116279069767
"Q2",73,0,0.424657534246575
"Q3",54,0,0.37037037037037
"Q4",40,0,0.35
