"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,1535,0.230061349693252
"CRS",50,0,0.22
"ERK",323,0,0.30030959752322
"MNT",108,0,0.435185185185185
"MRO",138,0,0.181159420289855
"OSF",29,0,0.310344827586207
"HKL",110,0,0.227272727272727
"NET",6,0,0.166666666666667
"TWL",867,1535,0.275663206459054
"1978",124,0,0.419354838709677
"1979",102,1535,0.431372549019608
"1980",271,0,0.269372693726937
"1981",237,0,0.278481012658228
"1982",249,0,0.120481927710843
"Q1",162,0,0.185185185185185
"Q2",289,0,0.311418685121107
"Q3",340,0,0.270588235294118
"Q4",192,1535,0.276041666666667
