margDBRK,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,12714,0.978260869565217
MRO,66,4628,0.984848484848485
OSF,63,24474,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,219,41816,0.981735159817352
1978,57,5723,0.982456140350877
1980,61,24474,0.983606557377049
1981,42,6991,0.976190476190476
1982,50,0,1
1983,18,4628,0.944444444444444
Q1,45,0,1
Q2,79,0,1
Q3,59,5723,0.983050847457627
Q4,45,36093,0.933333333333333
