margTIGR,n,landing,coverage
BDG,9,2766,0.222222222222222
BRG,326,0,0.417177914110429
CRS,50,0,0.4
ERK,323,0,0.39938080495356
MNT,108,0,0.277777777777778
MRO,138,0,0.471014492753623
OSF,29,0,0.310344827586207
HKL,110,0,0.418181818181818
NET,6,0,0
TWL,867,2766,0.397923875432526
1978,124,0,0.524193548387097
1979,102,0,0.382352941176471
1980,271,0,0.428044280442804
1981,237,2766,0.485232067510549
1982,249,0,0.224899598393574
Q1,162,0,0.351851851851852
Q2,289,0,0.487889273356401
Q3,340,0,0.35
Q4,192,2766,0.385416666666667
