margWDOW,n,landing,coverage
BDG,12,76960,0.833333333333333
BRG,401,727171,0.972568578553616
CRS,60,230536,0.983333333333333
ERK,459,15794606,0.845315904139434
MNT,163,1034139,0.920245398773006
MRO,164,234946,0.99390243902439
OSF,36,925923,0.944444444444444
HKL,124,218538,1
NET,14,360798,0.928571428571429
TWL,1157,18444945,0.913569576490925
1978,124,749148,0.951612903225806
1979,102,2751370,0.882352941176471
1980,271,10708990,0.867158671586716
1981,237,3288416,0.886075949367089
1982,249,655582,0.971887550200803
1983,312,870775,0.958333333333333
Q1,228,4112305,0.907894736842105
Q2,390,4392668,0.907692307692308
Q3,437,5343034,0.940503432494279
Q4,240,5176274,0.925
