"marginalYTRK","n","landing","coverage"
"BDG",9,4003,1
"BRG",326,492844,0.987730061349693
"CRS",50,465516,0.94
"ERK",323,885402,0.953560371517028
"MNT",108,333889,0.935185185185185
"MRO",138,199364,0.949275362318841
"OSF",29,55138,1
"HKL",110,571560,0.927272727272727
"NET",6,31893,0.833333333333333
"TWL",867,1832703,0.968858131487889
"1978",124,618089,0.967741935483871
"1979",102,154519,0.990196078431373
"1980",271,242145,0.96309963099631
"1981",237,767033,0.945147679324895
"1982",249,654370,0.967871485943775
"Q1",162,493422,0.962962962962963
"Q2",289,309370,0.97923875432526
"Q3",340,1084024,0.967647058823529
"Q4",192,549340,0.932291666666667
