"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0
"BRG",326,0,0.220858895705521
"CRS",50,0,0.02
"ERK",323,0,0.151702786377709
"MNT",108,0,0.407407407407407
"MRO",138,0,0.391304347826087
"OSF",29,0,0.103448275862069
"HKL",110,0,0.281818181818182
"NET",6,0,0.166666666666667
"TWL",867,2766,0.220299884659746
"1978",124,0,0.0967741935483871
"1979",102,0,0.0490196078431373
"1980",271,0,0.380073800738007
"1981",237,2766,0.316455696202532
"1982",249,0,0.112449799196787
"Q1",162,0,0.185185185185185
"Q2",289,0,0.359861591695502
"Q3",340,0,0.235294117647059
"Q4",192,2766,0.046875
