margCOPP,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.996932515337423
CRS,50,0,1
ERK,323,6444,0.984520123839009
MNT,108,0,0.87037037037037
MRO,138,2014,0.992753623188406
OSF,29,15228,0.793103448275862
HKL,110,20839,0.972727272727273
NET,6,0,1
TWL,867,2847,0.97116493656286
1978,124,0,0.983870967741935
1979,102,0,1
1980,271,19234,0.977859778597786
1981,237,0,0.945147679324895
1982,249,4452,0.971887550200803
Q1,162,0,0.87037037037037
Q2,289,15228,0.996539792387543
Q3,340,7833,0.985294117647059
Q4,192,625,0.994791666666667
