margOLVE,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,20334,0.782608695652174
MRO,66,0,1
OSF,63,0,1
HKL,1,0,1
NET,8,17170,0.5
TWL,219,3164,0.926940639269406
1978,57,17170,0.736842105263158
1980,61,0,1
1981,42,0,1
1982,50,3164,0.9
1983,18,0,1
Q1,45,0,0.911111111111111
Q2,79,17170,0.949367088607595
Q3,59,0,0.813559322033898
Q4,45,3164,0.977777777777778
