margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.874233128834356
CRS,50,1522,0.98
ERK,323,293,0.996904024767802
MNT,108,0,0.87962962962963
MRO,138,2013,0.920289855072464
OSF,29,0,0.827586206896552
HKL,110,1682,0.9
NET,6,0,1
TWL,867,2146,0.929642445213379
1978,124,0,0.830645161290323
1979,102,0,0.941176470588235
1980,271,331,0.918819188191882
1981,237,1742,0.928270042194093
1982,249,1755,0.975903614457831
Q1,162,526,0.882716049382716
Q2,289,1522,0.993079584775087
Q3,340,599,0.994117647058824
Q4,192,1181,0.744791666666667
