margBCAC,n,landing,coverage
BDG,9,689945,0.333333333333333
BRG,326,4401338,0.650306748466258
CRS,50,570089,0.84
ERK,323,2934116,0.752321981424149
MNT,108,2426405,0.601851851851852
MRO,138,1605793,0.521739130434783
OSF,29,1665847,0.448275862068966
HKL,110,906394,0.636363636363636
NET,6,20053,0.833333333333333
TWL,867,13367086,0.66320645905421
1978,124,1320166,0.637096774193548
1979,102,1408999,0.705882352941177
1980,271,2700181,0.708487084870849
1981,237,5193394,0.70042194092827
1982,249,3670793,0.566265060240964
Q1,162,3371850,0.685185185185185
Q2,289,3877067,0.685121107266436
Q3,340,4274305,0.611764705882353
Q4,192,2770311,0.692708333333333
