margOLVE,n,landing,coverage
BRG,6,0,1
MNT,88,20334,0.761363636363636
MRO,64,0,0.96875
OSF,52,0,0.942307692307692
HKL,1,0,1
NET,8,17170,0.5
TWL,201,3164,0.890547263681592
1978,57,17170,0.684210526315789
1980,61,0,0.918032786885246
1981,42,0,1
1982,50,3164,0.94
Q1,43,0,1
Q2,73,17170,0.945205479452055
Q3,54,0,0.666666666666667
Q4,40,3164,0.9
