"species","mad"
"RDBD",8.36881647585609e-06
"REDS",8.51096846156371e-06
"SBLY",8.54556490415711e-06
"ROSY",8.61776583433784e-06
"ARRA",8.62266804917412e-06
"FLAG",8.62843323848121e-06
"SNOS",8.6401236358211e-06
"GSPT",8.67307475353337e-06
"MXRF",8.68045299913302e-06
"SPKL",8.74177050203555e-06
"RSTN",8.79797937345061e-06
"GSRK",8.81588759720036e-06
"STAR",8.87721655272531e-06
"SHRP",8.9979142723299e-06
"REX",9.07485380571304e-06
"BLGL",9.18427728583263e-06
"COPP",9.24483305126209e-06
"STRK",9.26504337666851e-06
"BRWN",9.29339862678442e-06
"GBLC",9.40540124162281e-06
"SSPN",9.56850953462211e-06
"POP",9.6194157794828e-06
"BANK",9.92139079810651e-06
"YTRK",1.01316437636354e-05
"LCOD",1.03378687168751e-05
"OLVE",1.04890252222816e-05
"LSPN",1.07884850447476e-05
"BLUR",1.09923601453276e-05
"TIGR",1.10533248060955e-05
"QLBK",1.10958646658454e-05
"CWCD",1.16982828527244e-05
"BLCK",1.20348295509975e-05
"CBZN",1.20777403127458e-05
"CLPR",1.2121820373208e-05
"VRML",1.21741937710509e-05
"YEYE",1.24769728329625e-05
"SLGR",1.29939212920358e-05
"BCAC",1.30318038615615e-05
"WDOW",1.3068400872013e-05
"DBRK",1.37571335057219e-05
"CNRY",1.67878707043764e-05
"BRNZ",1.81871623928303e-05
"YMTH",1.8638549698934e-05
"REYE",2.22585175373834e-05
"URCK",2.40694687606091e-05
"GRAS",2.42464670159944e-05
"SWSP",2.70777493727739e-05
"EGLS",4.01096925598464e-05
