"species","mad"
"WDOW",3.68600871379499e-05
"GSPT",4.10111954583302e-05
"RDBD",4.21733071970702e-05
"DBRK",4.38420756869242e-05
"CLPR",4.47407996300336e-05
"GSRK",4.50255068220018e-05
"BCAC",4.52680509231815e-05
"STRK",4.58931104874554e-05
"POP",4.59163918501455e-05
"SNOS",4.62990571586679e-05
"BLCK",4.74280452028547e-05
"YTRK",4.83027095861053e-05
"YEYE",4.892239210594e-05
"BANK",5.02477213091933e-05
"CNRY",5.03255299423505e-05
"VRML",5.12640152525419e-05
"CWCD",5.25549811775332e-05
"LCOD",5.27137171927543e-05
"SSPN",5.3808666451114e-05
"ARRA",5.39091013231641e-05
"BLGL",5.42924698616135e-05
"STAR",5.53210237500053e-05
"FLAG",5.68425983464243e-05
"COPP",6.01720376869933e-05
"BRWN",6.02832175106501e-05
"SPKL",6.09905641041294e-05
"BLUR",6.25513257592101e-05
"OLVE",6.92357183308414e-05
"REDS",7.41050474592191e-05
"RSTN",7.45419140821221e-05
"SBLY",7.71329392618318e-05
"LSPN",7.73170329205329e-05
"SHRP",7.75742071994377e-05
"ROSY",7.87543930088737e-05
"GBLC",8.02951651208225e-05
"REX",8.35594543518035e-05
"YMTH",9.46226861025264e-05
"SLGR",9.5510132826466e-05
"GRAS",9.77370193635315e-05
"TIGR",9.81122432321838e-05
"SWSP",9.93501646104604e-05
"MXRF",0.000100047851933616
"CBZN",0.000103409656039889
"URCK",0.00010351151102728
"EGLS",0.00010354115320072
"QLBK",0.000103690889241604
"REYE",0.000104998735435264
"BRNZ",0.000108691034988084
