"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,3698,0.377300613496933
"CRS",50,0,0.38
"ERK",323,0,0.535603715170279
"MNT",108,0,0.212962962962963
"MRO",138,0,0.601449275362319
"OSF",29,0,0.379310344827586
"HKL",110,0,0.609090909090909
"NET",6,0,0.333333333333333
"TWL",867,3698,0.424452133794694
"1978",124,0,0.467741935483871
"1979",102,3698,0.558823529411765
"1980",271,0,0.431734317343173
"1981",237,0,0.308016877637131
"1982",249,0,0.530120481927711
"Q1",162,0,0.376543209876543
"Q2",289,0,0.29757785467128
"Q3",340,1139,0.502941176470588
"Q4",192,2559,0.619791666666667
