"marginalPNKR","n","landing","coverage"
"BRG",6,0,1
"MNT",88,745,0.965909090909091
"MRO",64,0,1
"OSF",52,0,1
"HKL",1,0,1
"NET",8,0,1
"TWL",201,745,0.985074626865672
"1978",57,745,0.982456140350877
"1980",61,0,1
"1981",42,0,0.952380952380952
"1982",50,0,1
"Q1",43,745,0.976744186046512
"Q2",73,0,0.972602739726027
"Q3",54,0,1
"Q4",40,0,1
