margGBLC,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,1
ERK,533,0,0.921200750469043
MNT,249,0,1
MRO,201,46499,0.965174129353234
OSF,65,0,0.938461538461538
HKL,128,37006,0.953125
NET,24,0,1
TWL,1420,9493,0.966901408450704
1978,124,0,1
1979,102,372,0.980392156862745
1980,271,1328,0.992619926199262
1981,237,0,1
1982,249,35306,0.807228915662651
1983,312,0,1
1984,277,9493,0.996389891696751
Q1,277,5688,0.978339350180505
Q2,441,9551,0.99546485260771
Q3,534,30556,0.919475655430712
Q4,320,704,0.99375
