margBCAC,n,landing,coverage
BDG,9,689945,0.666666666666667
BRG,326,4401338,0.947852760736196
CRS,50,570089,0.98
ERK,323,2934116,0.947368421052632
MNT,108,2426405,0.944444444444444
MRO,138,1605793,0.898550724637681
OSF,29,1665847,0.724137931034483
HKL,110,906394,0.927272727272727
NET,6,20053,1
TWL,867,13367086,0.933102652825836
1978,124,1320166,0.935483870967742
1979,102,1408999,0.96078431372549
1980,271,2700181,0.948339483394834
1981,237,5193394,0.911392405063291
1982,249,3670793,0.923694779116466
Q1,162,3371850,0.907407407407407
Q2,289,3877067,0.941176470588235
Q3,340,4274305,0.923529411764706
Q4,192,2770311,0.958333333333333
