margREX,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.337423312883436
CRS,50,0,0.1
ERK,323,0,0.291021671826625
MNT,108,0,0.472222222222222
MRO,138,0,0.166666666666667
OSF,29,3731,0.172413793103448
HKL,110,0,0.218181818181818
NET,6,0,0
TWL,867,3731,0.304498269896194
1978,124,0,0.145161290322581
1979,102,0,0.245098039215686
1980,271,0,0.206642066420664
1981,237,0,0.434599156118143
1982,249,3731,0.345381526104418
Q1,162,0,0.141975308641975
Q2,289,3731,0.453287197231834
Q3,340,0,0.164705882352941
Q4,192,0,0.40625
