"marginalKLPG","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,337,0.340909090909091
"MRO",64,0,0.125
"OSF",52,0,0.230769230769231
"HKL",1,0,1
"NET",8,337,0.125
"TWL",201,0,0.253731343283582
"1978",57,337,0.368421052631579
"1980",61,0,0.344262295081967
"1981",42,0,0.238095238095238
"1982",50,0,0.02
"Q1",43,0,0.348837209302326
"Q2",73,337,0.246575342465753
"Q3",54,0,0.240740740740741
"Q4",40,0,0.175
