"marginalVRML","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,0,0.875
"MRO",64,56066,0.84375
"OSF",52,21191,0.942307692307692
"HKL",1,9249,0
"NET",8,0,1
"TWL",201,68008,0.870646766169154
"1978",57,0,0.807017543859649
"1980",61,77257,0.918032786885246
"1981",42,0,0.80952380952381
"1982",50,0,0.94
"Q1",43,18759,0.744186046511628
"Q2",73,46817,0.986301369863014
"Q3",54,11681,0.722222222222222
"Q4",40,0,1
