margBLCK,n,landing,coverage
BDG,27,0,0.259259259259259
BRG,12,0,0.5
CRS,3,0,1
ERK,55,0,0.509090909090909
MNT,11,0,0
MRO,1,0,1
OSF,20,0,0.15
TWL,129,0,0.372093023255814
1981,37,0,0.162162162162162
1982,92,0,0.456521739130435
Q1,33,0,0.454545454545455
Q2,13,0,0.692307692307692
Q3,37,0,0.297297297297297
Q4,46,0,0.282608695652174
