"marginalVRML","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.556818181818182
"MRO",64,56066,0.875
"OSF",52,21191,0.576923076923077
"HKL",1,9249,0
"NET",8,0,0.125
"TWL",201,68008,0.666666666666667
"1978",57,0,0.684210526315789
"1980",61,77257,0.721311475409836
"1981",42,0,0.80952380952381
"1982",50,0,0.36
"Q1",43,18759,0.86046511627907
"Q2",73,46817,0.36986301369863
"Q3",54,11681,0.648148148148148
"Q4",40,0,0.9
