margBLUR,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,0.831578947368421
MRO,77,0,1
OSF,63,0,0.952380952380952
HKL,1,0,1
NET,8,0,0.5
TWL,236,0,0.936440677966102
1978,57,0,0.719298245614035
1980,61,0,1
1981,42,0,0.928571428571429
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,0,1
Q2,86,0,0.941860465116279
Q3,59,0,0.813559322033898
Q4,45,0,0.933333333333333
