margBLUR,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,0.947368421052632
MRO,77,0,1
OSF,63,0,0.984126984126984
HKL,1,0,1
NET,8,0,0.5
TWL,236,0,0.991525423728814
1978,57,0,0.912280701754386
1980,61,0,1
1981,42,0,0.976190476190476
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,0,1
Q2,86,0,0.941860465116279
Q3,59,0,1
Q4,45,0,0.977777777777778
