margEGLS,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.273006134969325
CRS,50,0,0.56
ERK,323,0,0.195046439628483
MNT,108,1398,0.185185185185185
MRO,138,0,0.22463768115942
OSF,29,0,0.551724137931034
HKL,110,0,0.218181818181818
NET,6,0,0.166666666666667
TWL,867,1398,0.257208765859285
1978,124,0,0.298387096774194
1979,102,0,0.0294117647058824
1980,271,1398,0.284132841328413
1981,237,0,0.126582278481013
1982,249,0,0.405622489959839
Q1,162,0,0.407407407407407
Q2,289,0,0.200692041522491
Q3,340,1398,0.182352941176471
Q4,192,0,0.322916666666667
