margTREE,n,landing,coverage
BDG,56,0,0.321428571428571
BRG,457,0,0.155361050328228
CRS,82,0,0.329268292682927
ERK,594,0,0.183501683501683
MNT,344,0,0.177325581395349
MRO,266,0,0.233082706766917
OSF,104,0,0.230769230769231
HKL,138,0,0.144927536231884
NET,47,0,0.148936170212766
TWL,1718,0,0.20081490104773
1978,124,0,0.0806451612903226
1979,102,0,0.0784313725490196
1980,271,0,0.217712177121771
1981,237,0,0.185654008438819
1982,249,0,0.257028112449799
1983,312,0,0.275641025641026
1984,277,0,0.15884476534296
1985,331,0,0.172205438066465
Q1,339,0,0.103244837758112
Q2,531,0,0.273069679849341
Q3,645,0,0.0775193798449612
Q4,388,0,0.365979381443299
