margTREE,n,landing,coverage
BDG,56,0,0.982142857142857
BRG,457,0,0.86870897155361
CRS,82,0,0.963414634146341
ERK,594,0,0.994949494949495
MNT,344,0,0.947674418604651
MRO,266,0,0.981203007518797
OSF,104,0,0.903846153846154
HKL,138,0,0.956521739130435
NET,47,0,0.978723404255319
TWL,1718,0,0.945867287543655
1978,124,0,0.983870967741935
1979,102,0,0.92156862745098
1980,271,0,0.996309963099631
1981,237,0,0.827004219409283
1982,249,0,0.931726907630522
1983,312,0,0.983974358974359
1984,277,0,0.935018050541516
1985,331,0,0.97583081570997
Q1,339,0,0.876106194690266
Q2,531,0,0.981167608286252
Q3,645,0,0.947286821705426
Q4,388,0,0.963917525773196
