margBLGL,n,landing,coverage
BDG,4,15175,0.75
BRG,6,0,1
MNT,95,36565,0.91578947368421
MRO,66,43210,0.954545454545455
OSF,63,2956,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,225,97906,0.937777777777778
1978,57,27793,0.964912280701754
1980,61,23574,0.983606557377049
1981,42,10625,0.976190476190476
1982,50,15877,0.9
1983,18,1863,0.944444444444444
1984,6,18174,0.333333333333333
Q1,51,27185,0.901960784313726
Q2,79,34890,0.924050632911392
Q3,59,1632,0.983050847457627
Q4,45,34199,0.955555555555556
