margSHRP,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,0.894736842105263
MRO,77,170,0.974025974025974
OSF,63,0,1
HKL,1,0,1
NET,8,0,0.875
TWL,236,170,0.953389830508475
1978,57,0,0.982456140350877
1980,61,0,0.918032786885246
1981,42,0,0.976190476190476
1982,50,0,0.98
1983,18,0,1
1984,6,0,0.5
1985,11,170,0.909090909090909
Q1,55,0,0.927272727272727
Q2,86,170,0.976744186046512
Q3,59,0,0.898305084745763
Q4,45,0,1
