species,mad
GSRK,3.01139377241254e-05
GBLC,3.05757493037747e-05
SNOS,3.20499605704446e-05
SBLY,3.29007597814958e-05
RDBD,3.51598305361175e-05
BLUR,3.52276089404045e-05
GSPT,3.5949730191189e-05
CNRY,3.82133757557831e-05
SPKL,3.90840105668305e-05
WDOW,4.13797102332682e-05
STRK,4.1657312665425e-05
ARRA,4.30474292202861e-05
OLVE,4.39456231404414e-05
BLGL,4.94256194937502e-05
VRML,5.10713521248189e-05
YTRK,5.29188560028992e-05
DBRK,5.49939091209136e-05
CLPR,5.92618519536737e-05
FLAG,5.99133307089887e-05
BANK,6.50482390951585e-05
KLPG,6.64984883497105e-05
CWCD,6.85912786094041e-05
PNKR,7.71131169040225e-05
BCAC,9.61437638120729e-05
BRWN,9.87928903705195e-05
TIGR,0.000104488882467681
